               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1409,            0.018392,            0.020723,             0.14403,              0.2031,            0.081935,            0.026076,             0.12379,            0.025432,            0.020248,            0.070187,           0.0033125,           0.0033125
                   1,             0.12032,            0.021638,            0.016275,             0.17569,             0.24652,             0.13255,            0.051792,             0.11634,            0.026983,            0.019284,            0.039924,           0.0063827,           0.0063827
                   2,             0.11649,            0.022991,            0.015779,             0.17852,             0.26911,             0.13542,            0.047663,             0.11393,            0.027316,             0.01884,           0.0093971,           0.0091888,           0.0091888
                   3,             0.11309,            0.023935,            0.015645,             0.27744,             0.27104,             0.18925,            0.070979,             0.10915,            0.028643,            0.018874,            0.008812,            0.008812,            0.008812
                   4,              0.1105,            0.024118,            0.014722,             0.34374,             0.23048,             0.19501,            0.082169,             0.10766,             0.02894,            0.017194,            0.008812,            0.008812,            0.008812
                   5,             0.10869,            0.024474,            0.014488,             0.39617,             0.24587,               0.224,            0.091314,             0.10682,            0.028352,            0.016976,            0.008416,            0.008416,            0.008416
                   6,             0.10733,            0.024456,            0.014477,             0.40526,             0.23302,             0.21468,            0.088401,             0.10655,            0.028649,            0.017672,             0.00802,             0.00802,             0.00802
                   7,             0.10705,            0.025004,            0.013936,             0.42774,             0.24254,             0.22856,            0.099294,             0.10502,            0.028478,            0.017813,            0.007624,            0.007624,            0.007624
                   8,             0.10616,             0.02454,            0.013716,             0.46606,             0.26701,             0.25609,             0.11337,             0.10427,            0.028425,            0.016791,            0.007228,            0.007228,            0.007228
                   9,             0.10512,             0.02447,            0.013585,              0.4155,             0.26261,              0.2404,             0.10463,             0.10395,            0.027859,            0.017077,            0.006832,            0.006832,            0.006832
                  10,             0.10512,             0.02447,            0.013545,             0.42502,             0.25848,             0.24726,             0.10886,             0.10363,            0.027956,            0.016705,            0.006436,            0.006436,            0.006436
                  11,             0.10445,            0.023866,            0.013083,             0.44561,             0.24741,             0.24637,             0.10833,             0.10378,            0.028414,            0.017105,             0.00604,             0.00604,             0.00604
                  12,             0.10358,            0.023899,             0.01294,             0.43352,             0.25496,             0.24964,             0.11209,             0.10297,            0.028114,            0.017246,            0.005644,            0.005644,            0.005644
                  13,             0.10412,            0.024174,            0.013019,             0.50114,             0.26111,             0.26735,              0.1232,              0.1023,            0.027881,            0.017204,            0.005248,            0.005248,            0.005248
                  14,             0.10336,            0.024678,            0.013043,             0.47145,             0.27214,             0.26738,             0.12143,             0.10296,            0.028384,             0.01661,            0.004852,            0.004852,            0.004852
                  15,             0.10318,            0.024026,            0.012684,             0.45773,              0.2802,             0.27513,             0.12428,             0.10194,            0.028212,            0.016376,            0.004456,            0.004456,            0.004456
                  16,             0.10289,            0.024516,             0.01268,             0.48802,             0.27453,             0.27703,             0.12949,             0.10137,            0.028015,            0.016215,             0.00406,             0.00406,             0.00406
                  17,             0.10247,            0.023897,            0.012664,             0.52076,             0.26354,              0.2754,               0.126,             0.10156,             0.02807,            0.016068,            0.003664,            0.003664,            0.003664
                  18,             0.10175,            0.024224,            0.012393,             0.47249,             0.28019,             0.27667,              0.1282,             0.10111,            0.027978,            0.016205,            0.003268,            0.003268,            0.003268
                  19,             0.10166,            0.024163,            0.012193,             0.50626,             0.27467,             0.28374,              0.1323,             0.10156,            0.028346,            0.016145,            0.002872,            0.002872,            0.002872
                  20,             0.10211,              0.0239,            0.012229,             0.49402,             0.27282,             0.28377,             0.13441,             0.10119,             0.02797,            0.016387,            0.002476,            0.002476,            0.002476
                  21,             0.10103,            0.023806,            0.011753,             0.52026,             0.27016,             0.28544,             0.13389,             0.10076,            0.027893,            0.016557,             0.00208,             0.00208,             0.00208
                  22,             0.10131,            0.023848,            0.011948,             0.51286,             0.27158,             0.28696,             0.13654,             0.10051,            0.027749,            0.016258,            0.001684,            0.001684,            0.001684
                  23,             0.10075,            0.024143,            0.012011,             0.50205,             0.27997,              0.2821,             0.13298,             0.10052,            0.027566,            0.016353,            0.001288,            0.001288,            0.001288
                  24,             0.10038,            0.023812,            0.011789,             0.50732,             0.28498,             0.29079,             0.13947,             0.10019,            0.027673,            0.016051,            0.000892,            0.000892,            0.000892
